Tipo de Registro,Data do pregão,Código BDI,Código de negociação,Tipo de mercado,Nome resumido,Especificação do papel,Prazo em dias,Moeda de referência,Preço de abertura,Preço máximo,Preço mínimo,Preço médio,Preço do último negócio,Preço da melhor oferta de compra,Preço da melhor oferta de venda,Número de negócios,Quantidade total de títulos,Volume total,Preço de exercício ou valor do contrato,Indicador de correção,Data de vencimento,Fator de cotação,Preço de exercício em pontos,Código ISIN ou interno,Número de distribuição
01,20100104,02,ITUB4,010,ITAUUNIBANCO,PN  EDJ N1,,R$,0000000003889,0000000004049,0000000003889,0000000003996,0000000004012,0000000004012,0000000004015,08170,000000000005441600,000000021746581300,0000000000000,0,99991231,0000001,0000000000000,BRITUBACNPR1,110
01,20100105,02,ITUB4,010,ITAUUNIBANCO,PN  EDJ N1,,R$,0000000004022,0000000004038,0000000003990,0000000004016,0000000004038,0000000004005,0000000004038,07411,000000000004005000,000000016086219300,0000000000000,0,99991231,0000001,0000000000000,BRITUBACNPR1,110
01,20100106,02,ITUB4,010,ITAUUNIBANCO,PN  EDJ N1,,R$,0000000004025,0000000004049,0000000003970,0000000003996,0000000004003,0000000004000,0000000004003,05967,000000000004863900,000000019438860600,0000000000000,0,99991231,0000001,0000000000000,BRITUBACNPR1,110
01,20100107,02,ITUB4,010,ITAUUNIBANCO,PN  EDJ N1,,R$,0000000003975,0000000004005,0000000003955,0000000003969,0000000003962,0000000003962,0000000003965,07775,000000000004655300,000000018476019700,0000000000000,0,99991231,0000001,0000000000000,BRITUBACNPR1,110
01,20100108,02,ITUB4,010,ITAUUNIBANCO,PN  EDJ N1,,R$,0000000003978,0000000003978,0000000003892,0000000003916,0000000003902,0000000003900,0000000003902,07059,000000000004573600,000000017909073700,0000000000000,0,99991231,0000001,0000000000000,BRITUBACNPR1,110
01,20100111,02,ITUB4,010,ITAUUNIBANCO,PN  EDJ N1,,R$,0000000003919,0000000003945,0000000003815,0000000003852,0000000003868,0000000003859,0000000003868,11009,000000000006212200,000000023930329400,0000000000000,0,99991231,0000001,0000000000000,BRITUBACNPR1,110
01,20100112,02,ITUB4,010,ITAUUNIBANCO,PN  EDJ N1,,R$,0000000003831,0000000003873,0000000003804,0000000003837,0000000003832,0000000003830,0000000003832,06909,000000000004366400,000000016751905900,0000000000000,0,99991231,0000001,0000000000000,BRITUBACNPR1,110
01,20100113,02,ITUB4,010,ITAUUNIBANCO,PN  EDJ N1,,R$,0000000003840,0000000003898,0000000003800,0000000003843,0000000003844,0000000003840,0000000003844,07947,000000000004670800,000000017951915000,0000000000000,0,99991231,0000001,0000000000000,BRITUBACNPR1,110
01,20100114,02,ITUB4,010,ITAUUNIBANCO,PN      N1,,R$,0000000003850,0000000003880,0000000003770,0000000003823,0000000003791,0000000003786,0000000003791,07263,000000000004686600,000000017917661300,0000000000000,0,99991231,0000001,0000000000000,BRITUBACNPR1,110
01,20100115,02,ITUB4,010,ITAUUNIBANCO,PN      N1,,R$,0000000003780,0000000003829,0000000003702,0000000003749,0000000003727,0000000003710,0000000003727,11165,000000000007496800,000000028108786900,0000000000000,0,99991231,0000001,0000000000000,BRITUBACNPR1,110
01,20100118,02,ITUB4,010,ITAUUNIBANCO,PN      N1,,R$,0000000003740,0000000003798,0000000003735,0000000003769,0000000003760,0000000003760,0000000003761,03152,000000000002195400,000000008275927900,0000000000000,0,99991231,0000001,0000000000000,BRITUBACNPR1,110
01,20100119,02,ITUB4,010,ITAUUNIBANCO,PN      N1,,R$,0000000003730,0000000003803,0000000003721,0000000003760,0000000003750,0000000003747,0000000003750,07140,000000000004891400,000000018391051100,0000000000000,0,99991231,0000001,0000000000000,BRITUBACNPR1,110
